City_ID,City Name,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
543,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
547,Wanning,CN,79.83,clear sky,18.8003,110.3967,Paradise Hotel
570,Urumqi,CN,79.75,thunderstorm,43.801,87.6005,Hua Ling Grand Hotel Urumqi
572,Muisne,EC,75.81,overcast clouds,0.6,-80.0333,Quinta Samay
576,Tual,ID,78.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
579,Zhicheng,CN,78.17,overcast clouds,30.2956,111.5047,Wangjiang Building
582,Boffa,GN,78.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
584,Hobyo,SO,76.14,broken clouds,5.3505,48.5268,Iftin hotel hobyo
609,Kaspiyskiy,RU,76.64,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
611,Tamandare,BR,77.97,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
626,Malanje,AO,77.47,few clouds,-9.5402,16.341,Hotel Ginga
627,Dumai,ID,75.0,light rain,1.6833,101.45,Grand Zuri Dumai
632,Eyl,SO,77.99,overcast clouds,7.9803,49.8164,Amiin Hotel
639,Valasske Klobouky,CZ,77.76,clear sky,49.1406,18.0076,Hotel Alfacentrum
656,Teknaf,BD,79.27,overcast clouds,20.8624,92.3058,Forestry Guesthouse
661,Ha Tinh,VN,76.86,clear sky,18.3333,105.9,Phú Quý
669,Ca Mau,VN,77.49,few clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
