City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Moron,AR,-34.6534,-58.6198,63.01,96,100,7.9,overcast clouds
80,Hobart,AU,-42.8794,147.3294,45.27,93,63,5.75,broken clouds
81,Vaini,TO,-21.2,-175.2,72.32,66,66,18.14,broken clouds
82,Alekseyevsk,RU,57.8406,108.3492,61.81,96,100,1.34,overcast clouds
83,Pisco,PE,-13.7,-76.2167,65.59,69,64,10.0,broken clouds
84,Urubicha,BO,-15.3833,-62.95,94.96,25,3,6.31,clear sky
85,Topolovgrad,BG,42.0833,26.3333,78.66,28,74,16.55,broken clouds
86,Mataura,NZ,-46.1927,168.8643,33.48,98,14,2.51,few clouds
87,Simao,CN,22.7886,100.9748,64.74,94,10,1.81,clear sky
88,Niono,ML,14.2526,-5.993,92.43,40,86,7.74,overcast clouds
89,Berlevag,NO,70.8578,29.0864,53.55,71,0,12.66,clear sky
90,Mahebourg,MU,-20.4081,57.7,69.66,71,9,10.58,clear sky
91,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,41,7.0,scattered clouds
92,Nanortalik,GL,60.1432,-45.2371,47.64,77,100,3.8,overcast clouds
93,Lavrentiya,RU,65.5833,-171.0,41.16,91,100,8.39,light rain
94,Esperance,AU,-33.8667,121.9,53.04,67,90,12.33,overcast clouds
95,Namibe,AO,-15.1961,12.1522,63.61,89,44,4.63,scattered clouds
96,Hamilton,US,39.1834,-84.5333,89.78,68,81,3.0,broken clouds
97,Hithadhoo,MV,-0.6,73.0833,82.2,72,99,5.79,overcast clouds
98,Bredasdorp,ZA,-34.5322,20.0403,49.55,85,4,7.78,clear sky
99,Georgetown,MY,5.4112,100.3354,78.73,95,40,2.3,thunderstorm with light rain
100,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,12.66,broken clouds
101,Tsaratanana,MG,-16.7833,47.65,66.42,70,2,7.58,clear sky
102,Paita,PE,-5.0892,-81.1144,71.17,72,13,13.85,few clouds
103,Myingyan,MM,21.4667,95.3833,84.56,64,100,5.86,overcast clouds
104,Saint Andrews,US,34.0454,-81.1293,99.32,55,5,8.01,clear sky
105,Udachnyy,RU,66.4167,112.4,65.26,73,95,9.69,overcast clouds
106,Codrington,AU,-38.2667,141.9667,56.08,73,100,13.82,overcast clouds
107,Faya,SA,18.3851,42.4509,66.54,61,84,7.76,broken clouds
108,Thompson,CA,55.7435,-97.8558,71.58,34,99,8.95,overcast clouds
109,Pandrup,DK,57.2215,9.6757,67.91,73,75,14.97,broken clouds
110,Sechura,PE,-5.5569,-80.8222,77.29,58,19,12.73,few clouds
111,Barddhaman,IN,23.25,87.85,79.83,88,100,6.22,overcast clouds
112,Krasnyy Chikoy,RU,50.3643,108.7512,55.45,97,94,4.34,overcast clouds
113,Abapo,BO,-18.8333,-63.4667,89.28,28,0,3.58,clear sky
114,Guerrero Negro,MX,27.9769,-114.0611,77.0,56,77,4.59,broken clouds
115,Avarua,CK,-21.2078,-159.775,69.85,52,75,4.61,broken clouds
116,Anchorage,US,61.2181,-149.9003,58.93,76,76,5.01,broken clouds
117,Cabedelo,BR,-6.9811,-34.8339,78.19,76,85,20.83,overcast clouds
118,Puerto Escondido,MX,15.85,-97.0667,86.4,65,96,8.03,overcast clouds
119,Kashi,CN,39.4547,75.9797,96.01,10,75,17.9,broken clouds
120,Shirokiy,RU,49.758,129.523,62.44,91,6,3.83,clear sky
121,Kloulklubed,PW,7.0419,134.2556,82.8,73,96,7.54,light rain
122,Ketchikan,US,55.3422,-131.6461,55.74,98,100,6.42,moderate rain
123,Provideniya,RU,64.3833,-173.3,42.53,87,100,5.12,overcast clouds
124,Birjand,IR,32.8663,59.2211,83.75,25,0,20.22,clear sky
125,Nouadhibou,MR,20.931,-17.0347,70.18,92,16,17.02,few clouds
126,Rocha,UY,-34.4833,-54.3333,69.37,80,47,4.36,scattered clouds
127,Bethel,US,41.3712,-73.414,95.36,51,57,1.01,broken clouds
128,Avera,US,33.194,-82.5271,92.55,40,30,3.29,scattered clouds
129,Buraydah,SA,26.326,43.975,100.53,9,63,6.55,broken clouds
130,Hasaki,JP,35.7333,140.8333,75.6,87,96,13.82,overcast clouds
131,Souillac,MU,-20.5167,57.5167,68.76,75,6,10.07,clear sky
132,Mitsamiouli,KM,-11.3847,43.2844,76.59,71,10,7.85,clear sky
133,Dikson,RU,73.5069,80.5464,47.55,87,100,17.27,light rain
134,Deputatskiy,RU,69.3,139.9,50.38,78,61,2.68,broken clouds
135,Cherskiy,RU,68.75,161.3,52.32,53,57,4.63,broken clouds
